,POINT_ID,LC1,LU1,geometry,NUTS0
126,46522908,B71,U113,POINT (466730.6531139177 5449019.263504158),CZ
127,46902930,E20,U111,POINT (506101.387147761 5468380.177920272),CZ
128,46902980,C31,U120,POINT (509448.7811808733 5518235.003532142),CZ
129,46903074,E20,U111,POINT (515785.4602585334 5611951.415221804),CZ
130,46362930,B15,U111,POINT (452237.9873650013 5472042.881634636),CZ
131,46362938,E20,U111,POINT (452771.9121188912 5480021.128451185),CZ
132,46362950,B32,U111,POINT (453573.6184821315 5491988.254703652),CZ
133,46923014,B31,U111,POINT (513729.4638606383 5551997.579713543),CZ
134,46923036,C10,U120,POINT (515212.281959868 5573931.132177623),CZ
135,46502996,B11,U111,POINT (470621.1662273785 5536908.667652384),CZ
136,46503024,E10,U420,POINT (472504.6601074718 5564827.510206396),CZ
137,46702946,B14,U111,POINT (487220.4965547224 5485693.145315312),CZ
138,46343100,C31,U120,POINT (461681.9043643852 5641693.385903193),CZ
139,46703072,C32,U120,POINT (495697.4477459579 5611322.103435537),CZ
140,46723088,E20,U111,POINT (498776.5146431621 5627136.957632413),CZ
141,46703088,C21,U120,POINT (496781.2772952071 5627273.443940838),CZ
142,46763092,E20,U111,POINT (503038.2386899006 5630851.70314105),CZ
143,47202900,B11,U111,POINT (534025.8104966014 5436425.857665717),CZ
144,47203020,B22,U111,POINT (542067.977549993 5556069.983098286),CZ
145,47903002,Bx1,U111,POINT (610703.1483727375 5533340.634063644),CZ
146,47443048,B32,U111,POINT (567903.8823200919 5582344.108632769),CZ
147,46742924,B52,U111,POINT (489740.9818420646 5463483.73672542),CZ
148,46742962,B32,U111,POINT (492281.2425480936 5501375.658189939),CZ
149,46942934,B51,U111,POINT (510358.6684996189 5472096.839003203),CZ
150,46383014,C10,U361,POINT (459860.964570393 5555672.478832313),CZ
151,46383064,B11,U111,POINT (463233.5859297046 5605527.141600759),CZ
152,46383088,C23,U120,POINT (464858.3679059676 5629456.227541591),CZ
153,47682870,B16,U111,POINT (579912.7701691159 5403239.556899153),CZ
154,47682920,C33,U120,POINT (583247.342365439 5453094.312317799),CZ
155,46743000,B13,U111,POINT (494830.9966645212 5539264.95958907),CZ
156,46942962,C10,U120,POINT (512232.0861000986 5500015.651866122),CZ
157,46762958,F40,U111,POINT (494008.4387816834 5497251.258675647),CZ
158,47682944,E20,U111,POINT (584853.3373447909 5477022.866399743),CZ
159,47683006,B32,U111,POINT (589018.2215067851 5538833.877196409),CZ
160,47683008,B22,U111,POINT (589152.9559178504 5540827.686642749),CZ
161,46743106,E20,U111,POINT (501993.0656638692 5644945.251568687),CZ
162,47662880,B11,U111,POINT (578583.1152135381 5413347.514134343),CZ
163,47662890,B41,U111,POINT (579249.3820655749 5423318.685119857),CZ
164,47002938,A12,U350,POINT (516611.2208513691 5475677.293146419),CZ
165,46582946,E20,U111,POINT (475250.6308353365 5486507.642247413),CZ
